Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder
16,4060,M,0,6.9,8.64,1,1,2,8,1,2
16,4060,M,0,0,0,1,1,5,5,0,3
16,4060,M,0,0,0,1,1,4,10,1,5
16,4060,M,0,0,0.08,1,1,1,7,1,6
16,4061,F,0,36.74,39.37,1,1,1,7,1,2
16,4061,F,0,22.51,29.42,1,1,4,10,1,3
16,4061,F,0,0,1.61,1,1,5,5,0,4
16,4061,F,0,5.21,9.24,1,1,2,8,1,5
16,4061,F,0,4.6,6.15,1,1,3,9,1,6
17,4086,M,1,900,900,0,0,3,9,1,1
17,4086,M,1,69.65,543.515,1,1,2,8,1,2
17,4086,M,1,53.974,900,1,0,1,7,1,4
17,4086,M,1,0,0,1,1,5,5,0,5
17,4087,M,1,26.954,181.088,1,1,1,7,1,2
17,4087,M,1,0,55.584,1,1,2,8,1,3
17,4087,M,1,900,900,0,0,3,9,1,4
17,4087,M,1,0,0,1,1,4,10,1,5
17,4087,M,1,0,3.161,1,1,5,5,0,6
19,4093,M,0,45.256,61.54,1,1,2,8,1,2
19,4095,F,0,0,12.259,1,1,4,10,1,1
19,4095,F,0,0,4.71,1,1,5,5,0,3
19,4095,F,0,8.218,55.7,1,1,1,7,1,4
19,4095,F,0,6.498,9.322,1,1,2,8,1,5
19,4099,M,0,900,900,0,0,3,9,1,1
19,4099,M,0,0,0,1,1,1,7,1,2
19,4099,M,0,0,0,1,1,5,5,0,3
19,4099,M,0,0,21.257,1,1,2,8,1,5
19,4099,M,0,0,2.702,1,1,4,10,1,6
20,4089,M,1,15.141,900,1,0,1,7,1,2
20,4089,M,1,0,0,1,1,5,5,0,3
20,4089,M,1,21.41,23.315,1,1,4,10,1,4
20,4089,M,1,92.347,107.663,1,1,2,8,1,5
20,4089,M,1,900,900,0,0,3,9,1,6
20,4091,F,1,55.33,412.619,1,1,4,10,1,1
20,4091,F,1,73.864,900,1,0,1,7,1,2
20,4091,F,1,900,900,0,0,3,9,1,3
20,4091,F,1,5.77,8.29,1,1,2,8,1,4
20,4091,F,1,0,0,1,1,5,5,0,5
22,4140,M,1,0,4.14,1,1,5,5,0,2
22,4140,M,1,900,900,0,0,3,9,1,3
22,4140,M,1,35.93,42.08,1,1,4,10,1,6
22,4141,M,1,0,0,1,1,5,5,0,1
22,4141,M,1,93.98,2.85,1,1,4,10,1,2
22,4141,M,1,6.47,109.12,1,1,1,7,1,4
22,4141,M,1,36.07,41.24,1,1,2,8,1,5
22,4141,M,1,900,900,0,0,3,9,1,6
22,4145,F,1,63.42,68.65,1,1,1,7,1,2
22,4145,F,1,8.99,68.72,1,1,2,8,1,3
22,4145,F,1,0,477.87,1,1,5,5,0,5
22,4145,F,1,900,900,0,0,3,9,1,6
23,4134,M,0,18.29,425.51,1,1,2,8,1,1
23,4134,M,0,31.32,102.3,1,1,4,10,1,2
23,4134,M,0,900,900,0,0,3,9,1,4
23,4135,F,0,11.03,12.15,1,1,2,8,1,2
23,4136,M,0,4.66,5.58,1,1,1,7,1,2
23,4136,M,0,17.38,18.92,1,1,4,10,1,5
23,4137,M,0,28.82,65.35,1,1,4,10,1,1
23,4137,M,0,900,900,0,0,3,9,1,2
23,4137,M,0,569.41,571.25,1,1,2,8,1,5
23,4137,M,0,74.47,115.16,1,1,1,7,1,6
23,4138,F,0,0.31,1.46,1,1,1,7,1,1
23,4138,F,0,0,2.01,1,1,4,10,1,4
23,4138,F,0,34.31,43.66,1,1,2,8,1,5
23,4138,F,0,0,0,1,1,5,5,0,6
25,4146,F,1,113.88,163.07,1,1,1,7,1,2
25,4146,F,1,9.61,57.45,1,1,2,8,1,3
25,4146,F,1,846.52,900,1,0,3,9,1,5
25,4146,F,1,125.95,131.2,1,1,4,10,1,6
25,4148,M,1,159.52,162.04,1,1,1,7,1,1
25,4148,M,1,0,0,1,1,5,5,0,2
25,4148,M,1,900,900,0,0,3,9,1,3
25,4148,M,1,0,0,1,1,2,8,1,5
25,4151,F,1,0,90.96,1,1,1,7,1,1
25,4151,F,1,341.27,805.1,1,1,3,9,1,4
25,4152,F,1,69.18,99.43,1,1,2,8,1,1
25,4152,F,1,15.9,166.03,1,1,1,7,1,4
27,4142,M,0,21.35,900,1,0,1,7,1,1
27,4142,M,0,558.47,,1,,3,9,1,2
27,4142,M,0,4.28,34.32,1,1,2,8,1,4
27,4142,M,0,0,0,1,1,5,5,0,5
27,4142,M,0,0,0,1,1,4,10,1,6
27,4143,F,0,422.93,900,1,0,3,9,1,1
27,4143,F,0,0,4.34,1,1,4,10,1,2
27,4143,F,0,0,0,1,1,5,5,0,5
27,4143,F,0,9.37,900,1,0,1,7,1,6
27,4144,F,0,34,625.26,1,1,1,7,1,1
27,4144,F,0,900,900,0,0,3,9,1,3
27,4144,F,0,12.86,17.06,1,1,4,10,1,5
27,4147,F,0,17.02,41.04,1,1,2,8,1,2
29,4153,M,1,0,10.73,1,1,2,8,1,2
29,4153,M,1,900,900,0,0,3,9,1,4
29,4153,M,1,151.84,164.23,1,1,4,10,1,5
29,4153,M,1,2.45,5.89,1,1,5,5,0,6
29,4158,F,1,323.2,532.69,1,1,1,7,1,2
29,4158,F,1,18.7,900,1,0,2,8,1,3
29,4158,F,1,8.68,9.86,1,1,5,5,0,4
