Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Object_noobject,TrialOrder,Age
27,4143,F,0,0,4.34,1,1,8,1,8,1
27,4144,F,0,900,900,0,0,7,1,9,1
27,4144,F,0,12.86,17.06,1,1,8,1,11,1
29,4153,M,1,900,900,0,0,7,1,10,1
29,4153,M,1,151.84,164.23,1,1,8,1,11,1
1.2,4041,M,0,12.086,19.368,1,1,2,1,1,0
1.2,4041,M,0,191.159,900,1,0,1,1,5,0
1.2,4042,M,0,6.625,11.45,1,1,2,1,4,0
1.2,4042,M,0,900,900,0,0,1,1,6,0
1.2,4043,M,0,13.425,21.295,1,1,2,1,2,0
1.2,4043,M,0,900,900,0,0,1,1,6,0
2.3,4054,F,1,169.825,900,1,0,2,1,2,0
2.3,4054,F,1,900,900,0,0,1,1,3,0
2.3,4056,F,1,330.025,900,1,0,1,1,2,0
2.3,4057,M,1,900,900,0,0,1,1,1,0
2.3,4057,M,1,813.29,900,1,0,2,1,5,0
2.3,4058,F,1,202.445,900,1,0,1,1,3,0
2.3,4058,F,1,110.251,900,1,0,2,1,6,0
3,4051,F,1,326.38,768.968,1,1,2,1,3,0
3,4051,F,1,900,900,0,0,1,1,4,0
3,4053,F,1,245.48,900,1,0,1,1,4,0
3,4053,F,1,63.44,900,1,0,2,1,5,0
3,4055,M,1,51.295,52.15,1,1,2,1,2,0
3,4055,M,1,210.94,900,1,0,1,1,3,0
4,4018,F,0,900,900,0,0,1,1,1,0
4,4018,F,0,763.161,765.125,1,1,2,1,2,0
4,4019,M,0,138.66,154.99,1,1,2,1,5,0
4,4019,M,0,537.576,900,1,0,1,1,6,0
4,4020,M,0,14.565,900,1,0,1,1,1,0
4,4020,M,0,19.245,38.255,1,1,2,1,4,0
4,4021,F,0,868.245,900,1,0,1,1,4,0
4,4021,F,0,50.374,217.965,1,1,2,1,6,0
5,3931,F,0,12.799,18.249,1,1,2,1,2,0
5,3931,F,0,47.3,306.96,1,1,1,1,3,0
5,3932,M,0,142.075,160.345,1,1,2,1,4,0
5,3932,M,0,900,900,0,0,1,1,5,0
5,3933,F,0,6.15,8.684,1,1,2,1,2,0
5,3933,F,0,297.154,900,1,0,1,1,6,0
5,3934,M,0,900,900,0,0,2,1,3,0
5,3934,M,0,469.8,900,1,0,1,1,6,0
6,3935,F,1,7.776,251.181,1,1,2,1,1,0
6,3935,F,1,579.582,900,1,0,1,1,3,0
6,3936,M,1,900,900,0,0,1,1,1,0
6,3936,M,1,17.215,21.808,1,1,2,1,5,0
6,3937,M,1,900,900,0,0,1,1,3,0
6,3937,M,1,51.855,488.695,1,1,2,1,4,0
6,3938,M,1,900,900,0,0,1,1,2,0
6,3938,M,1,138.005,142.206,1,1,2,1,6,0
7.2,4063,F,1,38.625,900,1,0,1,1,1,0
7.2,4063,F,1,5.225,9.115,1,1,2,1,4,0
7.2,4068,F,1,70.114,900,1,0,1,1,2,0
7.2,4068,F,1,0,6.361,1,1,2,1,4,0
8.2,4037,M,0,5.625,8.946,1,1,2,1,1,0
8.2,4037,M,0,108.715,900,1,0,1,1,6,0
8.2,4038,M,0,695.879,900,1,0,1,1,2,0
8.2,4038,M,0,111.226,900,1,0,2,1,6,0
9,4048,M,0,98.76,900,1,0,2,1,2,0
9,4049,M,0,12.009,79.855,1,1,2,1,5,0
9,4049,M,0,203.341,478.585,1,1,1,1,6,0
9,4052,F,0,8.26,9.325,1,1,2,1,6,0
9,4052,F,0,294.7,586.85,1,1,1,1,4,0
10,4065,F,1,26.005,41.655,1,1,2,1,4,0
10,4066,F,1,24.425,35.684,1,1,2,1,3,0
10,4066,F,1,900,900,0,0,1,1,5,0
10,4067,M,1,47.8,90.799,1,1,2,1,2,0
10,4067,M,1,900,900,0,0,1,1,5,0
11,4074,F,1,87.625,900,1,0,1,1,3,0
11,4074,F,1,88.509,794.174,1,1,2,1,4,0
11,4075,M,1,102.481,195.945,1,1,2,1,1,0
11,4075,M,1,900,900,0,0,1,1,5,0
11,4076,M,1,101.72,900,1,0,2,1,4,0
12,4069,F,0,0,2.367,1,1,2,1,2,0
12,4069,F,0,0,61.92,1,1,1,1,5,0
12,4070,M,0,194.294,900,1,0,1,1,3,0
12,4070,M,0,43.811,56.6,1,1,2,1,5,0
12,4071,F,0,15.332,876.838,1,1,1,1,1,0
12,4071,F,0,0.624,2.545,1,1,2,1,2,0
12,4072,F,0,0,38.13,1,1,2,1,3,0
12,4072,F,0,900,900,0,0,1,1,6,0
12,4073,M,0,900,900,0,0,1,1,2,0
12,4073,M,0,900,900,0,0,2,1,4,0
14,4161,M,0,200.866,900,1,0,1,1,4,0
14,4161,M,0,50.19,55.32,1,1,2,1,6,0
14,4163,M,0,6.696,207.201,1,1,2,1,4,0
14,4164,M,0,900,900,0,0,1,1,1,0
14,4165,F,0,0,80.825,1,1,2,1,2,0
14,4165,F,0,31.27,900,1,0,1,1,4,0
14,4166,M,0,544.466,900,1,0,2,1,1,0
14,4166,M,0,674.186,900,1,0,1,1,4,0
15,4129,M,1,511.67,900,1,0,1,1,1,0
15,4129,M,1,97.424,900,1,0,2,1,3,0
15,4130,F,1,1.711,900,1,0,1,1,1,0
15,4130,F,1,244.47,246.65,1,1,2,1,2,0
15,4131,F,1,175.73,420.128,1,1,2,1,1,0
15,4131,F,1,482.368,900,1,0,1,1,5,0
15,4132,M,1,108.75,469.36,1,1,2,1,4,0
15,4132,M,1,214.245,900,1,0,1,1,5,0
15,4133,M,1,28.014,900,1,0,2,1,1,0
16,4059,M,0,2.799,6.854,1,1,2,1,2,0
16,4059,M,0,13.33,791.061,1,1,1,1,6,0
16,4060,M,0,108.125,900,1,0,1,1,2,0
16,4060,M,0,10.065,34.304,1,1,2,1,6,0
16,4061,F,0,107.78,654.495,1,1,1,1,6,0
16,4061,F,0,8.201,24.025,1,1,2,1,3,0
17,4086,M,1,900,900,0,0,1,1,4,0
17,4086,M,1,54.255,900,1,0,2,1,6,0
17,4087,M,1,27.06,750.374,1,1,2,1,3,0
17,4087,M,1,151.286,900,1,0,1,1,4,0
19,4094,F,0,27.439,900,1,0,1,1,2,0
19,4094,F,0,3.06,4.361,1,1,2,1,4,0
19,4095,F,0,102.974,900,1,0,1,1,1,0
19,4095,F,0,61.866,68.665,1,1,2,1,3,0
19,4099,M,0,6.894,8.966,1,1,1,1,1,0
19,4099,M,0,38.2,45.584,1,1,2,1,5,0
20,4090,M,1,137.165,778.326,1,1,1,1,4,0
20,4090,M,1,0,0,1,1,2,1,6,0
20,4091,F,1,2.814,7.161,1,1,2,1,1,0
20,4091,F,1,0,900,1,0,1,1,4,0
22,4140,M,1,33.105,42.273,1,1,2,1,2,0
22,4140,M,1,334.969,900,1,0,1,1,3,0
22,4141,M,1,129.021,900,1,0,1,1,4,0
22,4145,F,1,0,0,1,1,2,1,6,0
22,4145,F,1,900,900,0,0,1,1,3,0
23,4135,F,0,183.85,185.9,1,1,2,1,3,0
23,4135,F,0,491.545,900,1,0,1,1,4,0
23,4136,M,0,476.84,900,1,0,2,1,1,0
23,4136,M,0,900,900,0,0,1,1,5,0
23,4137,M,0,509.921,900,1,0,1,1,2,0
23,4137,M,0,92.978,860.988,1,1,2,1,6,0
23,4138,F,0,33.8,80.36,1,1,2,1,4,0
23,4138,F,0,402.898,900,1,1,1,1,5,0
25,4146,F,1,475.876,900,1,0,1,1,5,0
25,4146,F,1,201.995,900,1,0,2,1,2,0
25,4148,M,1,0,716.216,1,1,2,1,4,0
25,4148,M,1,721.505,900,1,0,1,1,2,0
25,4151,F,1,5.651,545.797,1,1,2,1,2,0
25,4151,F,1,900,900,0,0,1,1,1,0
25,4152,F,1,75.499,280.374,1,1,2,1,3,0
27,4142,M,0,900,900,0,0,1,1,2,0
27,4142,M,0,13.933,900,1,0,2,1,5,0
