Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Object_noobject,TrialOrder,Age
22,4145,F,1,0,0,1,1,2,1,6,0
22,4145,F,1,900,900,0,0,1,1,3,0
23,4134,M,0,28.91,35.589,1,1,0,0,1,0
23,4135,F,0,17.501,19.322,1,1,0,0,1,0
23,4135,F,0,183.85,185.9,1,1,2,1,3,0
23,4135,F,0,491.545,900,1,0,1,1,4,0
23,4136,M,0,476.84,900,1,0,2,1,1,0
23,4136,M,0,0,0,1,1,0,0,4,0
23,4136,M,0,900,900,0,0,1,1,5,0
23,4137,M,0,509.921,900,1,0,1,1,2,0
23,4137,M,0,0,0,1,1,0,0,3,0
23,4137,M,0,92.978,860.988,1,1,2,1,6,0
23,4138,F,0,25.605,27.18,1,1,0,0,1,0
23,4138,F,0,33.8,80.36,1,1,2,1,4,0
23,4138,F,0,402.898,900,1,1,1,1,5,0
25,4146,F,1,475.876,900,1,0,1,1,5,0
25,4146,F,1,0,24.11,1,1,0,0,6,0
25,4146,F,1,201.995,900,1,0,2,1,2,0
25,4148,M,1,18.66,21.46,1,1,0,0,3,0
25,4148,M,1,0,716.216,1,1,2,1,4,0
25,4148,M,1,721.505,900,1,0,1,1,2,0
25,4151,F,1,5.651,545.797,1,1,2,1,2,0
25,4151,F,1,0,0,1,1,0,0,4,0
25,4151,F,1,900,900,0,0,1,1,1,0
25,4152,F,1,75.499,280.374,1,1,2,1,3,0
27,4142,M,0,900,900,0,0,1,1,2,0
27,4142,M,0,0,0,1,1,0,0,4,0
27,4142,M,0,13.933,900,1,0,2,1,5,0
27,4143,F,0,58.485,900,1,0,2,1,2,0
27,4143,F,0,0.205,2.621,1,1,0,0,4,0
27,4143,F,0,174.78,900,1,0,1,1,5,0
27,4144,F,0,900,900,0,0,1,1,6,0
27,4144,F,0,245.295,372.226,1,1,2,1,1,0
27,4144,F,0,0,0,1,1,0,0,4,0
29,4153,M,1,165.124,900,1,0,2,1,1,0
29,4153,M,1,536.44,900,1,0,1,1,2,0
29,4153,M,1,0,229.399,1,1,0,0,4,0
29,4158,F,1,0,0,1,1,1,1,2,0
29,4158,F,1,7.56,900,1,0,2,1,3,0
29,4158,F,1,0,0,1,1,0,0,6,0
1.2,4041,M,0,0,0,1,1,5,1,8,1
1.2,4041,M,0,0,0,1,1,0,0,11,1
1.2,4041,M,0,0,0,1,1,6,1,12,1
1.2,4042,M,0,0,19.86,1,1,5,1,8,1
1.2,4042,M,0,0,0,1,1,0,0,9,1
1.2,4042,M,0,93.71,900,1,0,6,1,11,1
1.2,4043,M,0,0,15.215,1,1,0,0,7,1
2.3,4056,F,1,0,0,1,1,0,0,7,1
2.3,4056,F,1,21.68,24.64,1,1,6,1,10,1
2.3,4056,F,1,9.85,35.95,1,1,5,1,11,1
2.3,4057,M,1,2.93,10.04,1,1,5,1,8,1
2.3,4057,M,1,241.22,242.1,1,1,6,1,10,1
2.3,4057,M,1,7.79,11.73,1,1,0,0,12,1
2.3,4058,F,1,17.02,19.92,1,1,5,1,10,1
2.3,4058,F,1,0.42,1.69,1,1,6,1,11,1
2.3,4058,F,1,2.41,2.66,1,1,0,0,12,1
3,4051,F,1,0,0.59,1,1,0,0,7,1
3,4051,F,1,131.84,154.5,1,1,6,1,9,1
3,4051,F,1,5.13,900,1,0,5,1,12,1
3,4053,F,1,0,1.04,1,1,0,0,8,1
3,4053,F,1,16.39,20.85,1,1,5,1,11,1
3,4053,F,1,0.92,2.22,1,1,6,1,12,1
3,4055,M,1,0,1.46,1,1,0,0,7,1
3,4055,M,1,6.18,7.81,1,1,5,1,10,1
3,4055,M,1,0.43,4.79,1,1,6,1,11,1
7.2,4063,F,1,21.52,67.64,1,1,5,1,7,1
7.2,4063,F,1,1.57,2.47,1,1,0,0,10,1
7.2,4063,F,1,1.72,2.42,1,1,6,1,11,1
7.2,4068,F,1,0,0,1,1,0,0,9,1
7.2,4068,F,1,0,0.15,1,1,6,1,10,1
7.2,4068,F,1,2.62,3.35,1,1,5,1,12,1
9,4048,M,0,3.44,7.14,1,1,0,0,7,1
9,4048,M,0,6.72,10.7,1,1,6,1,8,1
9,4048,M,0,6.2,7.35,1,1,5,1,12,1
9,4049,M,0,8.27,13.78,1,1,6,1,8,1
9,4049,M,0,0.4,2.15,1,1,5,1,10,1
9,4049,M,0,0,1.74,1,1,0,0,11,1
9,4052,F,0,1.78,4.29,1,1,0,0,10,1
9,4052,F,0,11.55,15.97,1,1,6,1,11,1
9,4052,F,0,0,0.7,1,1,5,1,12,1
10,4066,F,1,5.22,7,1,1,0,0,7,1
10,4066,F,1,1.53,4,1,1,5,1,9,1
10,4066,F,1,0,0,1,1,6,1,11,1
10,4067,M,1,14.21,14.83,1,1,6,1,7,1
10,4067,M,1,0,0,1,1,0,0,11,1
10,4067,M,1,19.01,36.96,1,1,5,1,12,1
11,4074,F,1,18.71,24.9,1,1,0,0,7,1
11,4074,F,1,40.29,478.77,1,1,5,1,11,1
11,4074,F,1,87.8,146.17,1,1,6,1,12,1
11,4075,M,1,9.98,15.56,1,1,0,0,8,1
11,4075,M,1,200.62,203.92,1,1,5,1,11,1
11,4075,M,1,40.94,900,1,0,6,1,12,1
11,4076,M,1,0.28,0.85,1,1,0,0,7,1
11,4076,M,1,301.2,303.17,1,1,6,1,11,1
11,4076,M,1,231.12,235.37,1,1,5,1,12,1
12,4069,F,0,109.44,232.37,1,1,5,1,8,1
12,4069,F,0,18.059,54.704,1,1,6,1,9,1
12,4069,F,0,0,0,1,1,0,0,12,1
12,4070,M,0,0,0,1,1,0,0,8,1
12,4070,M,0,56.979,62.495,1,1,5,1,9,1
12,4070,M,0,0.119,2.204,1,1,6,1,12,1
12,4071,F,0,0,0,1,1,0,0,8,1
12,4071,F,0,0,12.555,1,1,6,1,9,1
12,4072,F,0,5.68,9.43,1,1,5,1,8,1
12,4073,M,0,50.764,372.155,1,1,6,1,7,1
14,4161,M,0,119.19,,1,1,6,1,8,1
14,4161,M,0,4.77,6.6,1,1,0,0,9,1
14,4163,M,0,2.54,19.24,1,1,0,0,7,1
14,4163,M,0,22.95,278.92,1,1,5,1,8,1
14,4163,M,0,900,900,0,0,6,1,10,1
14,4164,M,0,159.33,171.04,1,1,6,1,8,1
14,4164,M,0,1.58,46.79,1,1,5,1,12,1
14,4165,F,0,0,11.01,1,1,0,0,9,1
14,4165,F,0,270.1,687.46,1,1,5,1,10,1
14,4165,F,0,1.95,29.49,1,1,6,1,12,1
14,4166,M,0,22.71,42.51,1,1,0,0,10,1
14,4166,M,0,30.59,59.62,1,1,5,1,11,1
14,4166,M,0,31.61,32.35,1,1,6,1,12,1
15,4129,M,1,7.21,65.96,1,1,6,1,7,1
15,4129,M,1,0,61.17,1,1,5,1,9,1
15,4129,M,1,0,0,1,1,0,0,12,1
15,4130,F,1,14.3,900,1,0,6,1,7,1
15,4130,F,1,4.11,7.11,1,1,0,0,8,1
15,4130,F,1,0,211.74,1,1,5,1,9,1
15,4131,F,1,69.64,71.28,1,1,6,1,8,1
15,4131,F,1,0,0,1,1,0,0,10,1
15,4132,M,1,900,900,0,0,6,1,7,1
15,4132,M,1,0,900,1,0,5,1,8,1
15,4133,M,1,0,2.66,1,1,0,0,7,1
15,4133,M,1,37.61,145.08,1,1,5,1,10,1
15,4133,M,1,18.74,38.13,1,1,6,1,12,1
16,4059,M,0,29.52,900,1,0,5,1,8,1
16,4059,M,0,0,0,1,1,0,0,9,1
16,4059,M,0,3.46,3.68,1,1,6,1,11,1
16,4060,M,0,6.9,8.64,1,1,6,1,8,1
16,4060,M,0,0,0,1,1,0,0,9,1
16,4060,M,0,0,0.08,1,1,5,1,12,1
16,4061,F,0,36.74,39.37,1,1,5,1,8,1
16,4061,F,0,0,1.61,1,1,0,0,10,1
16,4061,F,0,5.21,9.24,1,1,6,1,11,1
17,4086,M,1,69.65,543.515,1,1,6,1,8,1
17,4086,M,1,53.974,900,1,0,5,1,10,1
17,4086,M,1,0,0,1,1,0,0,11,1
17,4087,M,1,26.954,181.088,1,1,5,1,8,1
17,4087,M,1,0,55.584,1,1,6,1,9,1
17,4087,M,1,0,3.161,1,1,0,0,12,1
19,4093,M,0,45.256,61.54,1,1,6,1,8,1
19,4095,F,0,0,4.71,1,1,0,0,9,1
19,4095,F,0,8.218,55.7,1,1,5,1,10,1
19,4095,F,0,6.498,9.322,1,1,6,1,11,1
19,4099,M,0,0,0,1,1,5,1,8,1
19,4099,M,0,0,0,1,1,0,0,9,1
19,4099,M,0,0,21.257,1,1,6,1,11,1
20,4089,M,1,15.141,900,1,0,5,1,8,1
20,4089,M,1,0,0,1,1,0,0,9,1
20,4089,M,1,92.347,107.663,1,1,6,1,11,1
20,4091,F,1,73.864,900,1,0,5,1,8,1
20,4091,F,1,5.77,8.29,1,1,6,1,10,1
20,4091,F,1,0,0,1,1,0,0,11,1
22,4140,M,1,0,4.14,1,1,0,0,8,1
22,4141,M,1,0,0,1,1,0,0,7,1
22,4141,M,1,6.47,109.12,1,1,5,1,10,1
22,4141,M,1,36.07,41.24,1,1,6,1,11,1
22,4145,F,1,63.42,68.65,1,1,5,1,8,1
22,4145,F,1,8.99,68.72,1,1,6,1,9,1
22,4145,F,1,0,477.87,1,1,0,0,11,1
23,4134,M,0,18.29,425.51,1,1,6,1,7,1
23,4135,F,0,11.03,12.15,1,1,6,1,8,1
23,4136,M,0,4.66,5.58,1,1,5,1,8,1
23,4137,M,0,569.41,571.25,1,1,6,1,11,1
23,4137,M,0,74.47,115.16,1,1,5,1,12,1
23,4138,F,0,0.31,1.46,1,1,5,1,7,1
23,4138,F,0,34.31,43.66,1,1,6,1,11,1
23,4138,F,0,0,0,1,1,0,0,12,1
25,4146,F,1,113.88,163.07,1,1,5,1,8,1
25,4146,F,1,9.61,57.45,1,1,6,1,9,1
25,4148,M,1,159.52,162.04,1,1,5,1,7,1
25,4148,M,1,0,0,1,1,0,0,8,1
25,4148,M,1,0,0,1,1,6,1,11,1
25,4151,F,1,0,90.96,1,1,5,1,7,1
25,4152,F,1,69.18,99.43,1,1,6,1,7,1
25,4152,F,1,15.9,166.03,1,1,5,1,10,1
27,4142,M,0,21.35,900,1,0,5,1,7,1
27,4142,M,0,4.28,34.32,1,1,6,1,10,1
27,4142,M,0,0,0,1,1,0,0,11,1
27,4143,F,0,0,0,1,1,0,0,11,1
27,4143,F,0,9.37,900,1,0,5,1,12,1
27,4144,F,0,34,625.26,1,1,5,1,7,1
27,4147,F,0,17.02,41.04,1,1,6,1,8,1
29,4153,M,1,0,10.73,1,1,6,1,8,1
29,4153,M,1,2.45,5.89,1,1,0,0,12,1
29,4158,F,1,323.2,532.69,1,1,5,1,8,1
29,4158,F,1,18.7,900,1,0,6,1,9,1
29,4158,F,1,8.68,9.86,1,1,0,0,10,1
